Title,Price,Location,Rooms,Area,Floor
Часть дома · 4 комнаты · 300 м² · 2 сот.,185 000 000〒,"Бостандыкский р-н, Нур алатау 32",4,300.0,1
Отдельный дом · 8 комнат · 400 м² · 30 сот.,110 000 000〒,Суюнбая — Заправка Газпром,8,400.0,1
Отдельный дом · 4 комнаты · 100 м² · 9 сот.,20 000 000〒,Туймебая,4,100.0,1
Отдельный дом · 5 комнат · 100 м² · 5 сот.,22 000 000〒,Алмалык 11а,5,100.0,1
Отдельный дом · 4 комнаты · 120 м² · 9 сот.,45 000 000〒,Восточная 13 — Зона отдыха первомайские пруды,4,120.0,1
Часть дома · 3 комнаты · 90 м² · 25 сот.,9 000 000〒,Дзержинского 48,3,90.0,1
Отдельный дом · 3 комнаты · 83.8 м² · 3 сот.,5 000 000〒,8 км квартал А дом 41 — Магазин Титова,3,83.8,1
Отдельный дом · 3 комнаты · 90 м² · 8 сот.,40 000 000〒,Райымбек 99,3,90.0,1
Часть дома · 3 комнаты · 67.3 м² · 5.5 сот.,39 000 000〒,"Алатауский р-н, мкр Карасу",3,67.3,1
Отдельный дом · 4 комнаты · 120 м² · 6 сот.,26 000 000〒,Байтурсунова 6 — Ак жол,4,120.0,1
Отдельный дом · 3 комнаты · 80 м² · 8 сот.,20 000 000〒,"Енбекшинский р-н, мкр Бадам-1 ельтаи . жумагул ана — Жумагул ана",3,80.0,1
Отдельный дом · 4 комнаты · 144 м² · 1 сот.,120 000 000〒,Алатауская трасса 33ж в2/1,4,144.0,1
Отдельный дом · 5 комнат · 200 м² · 4 сот.,107 000 000〒,"Наурызбайский р-н, мкр Шугыла — По улице Сабденова, угол Алатау",5,200.0,1
Отдельный дом · 3 комнаты · 60 м² · 8 сот.,39 000 000〒,"Каратауский р-н, мкр Нуртас, Аксункар 60",3,60.0,1
Отдельный дом · 4 комнаты · 45 м² · 10 сот.,14 000 000〒,Умит,4,45.0,1
Отдельный дом · 4 комнаты · 125 м² · 9 сот.,8 500 000〒,Шевченко 63,4,125.0,1
Отдельный дом · 6 комнат · 360 м² · 9.5 сот.,115 000 000〒,Желтоксан 234,6,360.0,1
Отдельный дом · 6 комнат · 275 м² · 1 сот.,120 000 000〒,4А мкр 11а,6,275.0,1
Отдельный дом · 5 комнат · 160 м² · 6 сот.,55 000 000〒,Новостройка2 — Загородный дом,5,160.0,1
Отдельный дом · 5 комнат · 200 м² · 8 сот.,79 000 000〒,"Абайский р-н, мкр Самал-3 — Изгилик Баулык",5,200.0,1
Отдельный дом · 4 комнаты · 120 м² · 8 сот.,25 500 000〒,"Жанаталап,СмагулСадвакасов",4,120.0,1
Отдельный дом · 4 комнаты · 110 м² · 6 сот.,85 000 000〒,"Сарыарка р-н, Щорса 33 — Кумисбекова - Богенбай батыра",4,110.0,1
Отдельный дом · 4 комнаты · 350 м² · 11 сот.,145 000 000〒,Красный партизан 4а,4,350.0,1
Отдельный дом · 2 комнаты · 46 м² · 10 сот.,8 500 000〒,"Ульбинский, Подгорное 24 — Посёлок жыланды",2,46.0,1
Отдельный дом · 6 комнат · 220 м² · 4 сот.,35 000 000〒,"Каратауский р-н, Шынырау б/н — Пахтакор 2, мирас стадион",6,220.0,1
Отдельный дом · 6 комнат · 80 м² · 7 сот.,25 000 000〒,Абылай хана 4/4,6,80.0,1
Отдельный дом · 6 комнат · 230 м² · 6 сот.,36 500 000〒,Алатау 2707/18 — Участок д.2707/18,6,230.0,1
Отдельный дом · 1 комната · 44.72 м² · 832 сот.,10 000 000〒,Сабит Ташпанов 47 — Жанаталап,1,44.72,1
Отдельный дом · 3 комнаты · 70 м² · 15 сот.,14 500 000〒,Станиславского 4,3,70.0,1
Отдельный дом · 5 комнат · 150 м² · 8 сот.,45 000 000〒,"Абайский р-н, мкр Самал-3",5,150.0,1
Отдельный дом · 4 комнаты · 130 м² · 6 сот.,66 000 000〒,"Наурызбайский р-н, мкр Тастыбулак 39",4,130.0,1
Отдельный дом · 9 комнат · 840 м² · 12 сот.,700 000 000〒,"Алматы р-н, Райымбек батыр 88/1",9,840.0,1
Дача · 3 комнаты · 50 м² · 6 сот.,5 000 000〒,"Ульбинский, Мичуринец1 5/1 — ул. Сибинская",3,50.0,1
Отдельный дом · 5 комнат · 180 м² · 10 сот.,24 000 000〒,Жазык 1,5,180.0,1
2-комнатный дом · 203.17 м²,от 180 821 300〒,"Наурызбайский р-н, Талжанова 1А",0,203.17,1
Отдельный дом · 4 комнаты · 375 м² · 5 сот.,170 000 000〒,"Медеуский р-н, Сырдарьинская 72",4,375.0,1
Отдельный дом · 4 комнаты · 122 м² · 4.5 сот.,47 700 000〒,Исатай батыра 45/1,4,122.0,1
Отдельный дом · 5 комнат · 200 м² · 8 сот.,80 000 000〒,"мкр Водник-2, Ардагер 3 — Сары арка",5,200.0,1
Отдельный дом · 5 комнат · 240 м² · 15 сот.,80 000 000〒,Баймаханова 64,5,240.0,1
Отдельный дом · 5 комнат · 170 м² · 6.4 сот.,35 000 000〒,Дача новь 165/1 — Жайык 2 карьера,5,170.0,1
Отдельный дом · 3 комнаты · 75 м² · 4.7 сот.,15 000 000〒,Актобе 56 — Р.н 31школы,3,75.0,1
5-комнатный дом · 229.8 м²,от 181 542 000〒,"Талгарский район, поселок Каменное плато, территория PARK RESORT «ВОСЕМЬ ОЗЕР»",0,229.8,1
Отдельный дом · 3 комнаты · 50.2 м² · 514 сот.,17 000 000〒,"мкр Жетысу, М. Маметова 8 — Желтоксан район стадиона",3,50.2,1
Отдельный дом · 6 комнат · 320 м² · 10 сот.,69 990 000〒,Турана Рыскулова 2,6,320.0,1
Отдельный дом · 3 комнаты · 140 м² · 11 сот.,28 500 000〒,"жилой массив Заречный-3, Жансүгурова 55",3,140.0,1
Отдельный дом · 3 комнаты · 80 м² · 2 сот.,19 000 000〒,Силовая 1,3,80.0,1
Отдельный дом · 4 комнаты · 101 м² · 8.9 сот.,78 000 000〒,"Наурызбайский р-н, мкр Акжар 8 — Жибекбаева",4,101.0,1
Отдельный дом · 6 комнат · 250 м² · 9 сот.,135 000 000〒,Алтынсарина 64 — Возле школы,6,250.0,1
Отдельный дом · 5 комнат · 116 м² · 9 сот.,31 000 000〒,Сейфулина 16 — Юбелейная,5,116.0,1
Отдельный дом · 6 комнат · 234 м² · 10 сот.,118 000 000〒,"Алатауский р-н, мкр Акбулак — Чуланова",6,234.0,1
Отдельный дом · 3 комнаты · 67 м² · 10 сот.,17 000 000〒,Сопочная 2А,3,67.0,1
Отдельный дом · 3 комнаты · 55.4 м² · 4.15 сот.,50 000 000〒,"Турксибский р-н, Нурсая 69",3,55.4,1
Отдельный дом · 3 комнаты · 55.4 м² · 4.15 сот.,50 000 000〒,"Турксибский р-н, Нурсая 69",3,55.4,1
Отдельный дом · 4 комнаты · 150 м² · 8 сот.,41 999 999〒,Овражная 24 а,4,150.0,1
Отдельный дом · 3 комнаты · 52 м² · 9 сот.,16 000 000〒,"Казыбек би р-н, мкр Новый Город — Ярославская уг. Гоголя",3,52.0,1
Отдельный дом · 5 комнат · 212 м² · 11 сот.,45 000 000〒,Ск Керамика,5,212.0,1
Отдельный дом · 5 комнат · 180 м² · 10 сот.,50 000 000〒,Жаңа Ғасыр 149,5,180.0,1
Отдельный дом · 6 комнат · 218.5 м² · 4 сот.,49 000 000〒,"Алатауский р-н, мкр Мадениет — Дукенбай Досжан 28",6,218.5,1
Отдельный дом · 4 комнаты · 151 м² · 4 сот.,42 000 000〒,Карева 26 — Аманжолова,4,151.0,1
Отдельный дом · 2 комнаты · 80 м² · 30 сот.,15 000 000〒,Абдикова 83 — Кенжеколь,2,80.0,1
Отдельный дом · 3 комнаты · 102 м² · 8 сот.,14 800 000〒,"Сарыарка р-н, Жетисай 69",3,102.0,1
Часть дома · 4 комнаты · 100 м² · 18 сот.,23 000 000〒,"Пушкина 500 — Магазин Салем,стадион",4,100.0,1
Дача · 3 комнаты · 30 м² · 15 сот.,8 000 000〒,Восточник 4,3,30.0,1
Отдельный дом · 7 комнат · 280 м² · 1180 сот.,68 000 000〒,Белинского 15,7,280.0,1
Отдельный дом · 10 комнат · 250 м² · 6 сот.,35 000 000〒,"Аль-Фарабийский р-н, мкр Сауле , Тараз 93 — Остановка БИРЛИК",10,250.0,1
Отдельный дом · 7 комнат · 170 м² · 8 сот.,48 000 000〒,"Абайский р-н, мкр Самал-3, Самал-3 ш/а. 56 — 87 мектептің артында",7,170.0,1
Отдельный дом · 4 комнаты · 140 м² · 6 сот.,28 000 000〒,15линия 16,4,140.0,1
Отдельный дом · 2 комнаты · 47 м² · 15 сот.,12 000 000〒,Набережная 7,2,47.0,1
Отдельный дом · 4 комнаты · 129 м² · 3.6 сот.,42 500 000〒,"мкр Центральный, улица Махамбета Утемисова",4,129.0,1
Дача · 3 комнаты · 300 м² · 3 сот.,12 000 000〒,Карасай ауданы ұмтылский округ Алмалыбақ ауылы Юбилейное 159,3,300.0,1
Отдельный дом · 4 комнаты · 109 м² · 6 сот.,70 000 000〒,"Алатауский р-н, мкр Шапагат — Коктем",4,109.0,1
Отдельный дом · 5 комнат · 195 м² · 25 сот.,40 000 000〒,Рабочая 2б,5,195.0,1
Отдельный дом · 7 комнат · 236 м² · 4 сот.,100 000 000〒,"Ауэзовский р-н, мкр Достык — Яссауи - Абая",7,236.0,1
Отдельный дом · 6 комнат · 200 м² · 10 сот.,120 000 000〒,"Туран р-н, Байыркум 564 — Учебного центра Зерде",6,200.0,1
Отдельный дом · 7 комнат · 331 м² · 6 сот.,60 000 000〒,"мкр. Сельмаш, Жаманкулова",7,331.0,1
Отдельный дом · 7 комнат · 170 м² · 10 сот.,35 000 000〒,"Кокшетау , ( Алаш 55) 1 — Напротив ресторана White Hall",7,170.0,1
Отдельный дом · 6 комнат · 295 м² · 10 сот.,77 000 000〒,Ауэзова 123а,6,295.0,1
Отдельный дом · 3 комнаты · 80 м² · 7 сот.,13 000 000〒,Жомарт 49 — 9 линия,3,80.0,1
Отдельный дом · 6 комнат · 240 м² · 6 сот.,122 000 000〒,Орбулак 30 — Махамбет Отемысулы,6,240.0,1
Отдельный дом · 5 комнат · 240 м² · 10 сот.,120 000 000〒,"жилой массив Кирпичный, Сарбаз 9 — Казакойл",5,240.0,1
Отдельный дом · 2 комнаты · 100 м² · 8 сот.,22 000 000〒,М.Исенова 38 — Возле гор парка,2,100.0,1
Отдельный дом · 4 комнаты · 172 м² · 6 сот.,155 000 000〒,Алатауская трасса 33,4,172.0,1
Отдельный дом · 5 комнат · 200 м² · 10 сот.,64 000 000〒,Западная — В районе самсунг,5,200.0,1
Отдельный дом · 1 комната · 40 м² · 10 сот.,7 000 000〒,"Абайский р-н, мкр Акжар, Елтинжал 729 — Актас",1,40.0,1
Отдельный дом · 5 комнат · 190 м² · 6 сот.,35 000 000〒,Миханова 84 — Сергей тюленина,5,190.0,1
Отдельный дом · 4 комнаты · 265.7 м² · 3 сот.,100 000 000〒,"мкр Школьник, Аманжолова 84",4,265.7,1
Отдельный дом · 8 комнат · 312 м² · 8 сот.,53 000 000〒,Есимхана — Возле бани Санжар,8,312.0,1
Отдельный дом · 10 комнат · 370 м² · 6 сот.,43 000 000〒,"Алихана Бокейханова р-н, Майкудук, РозаЛюксембург52Г",10,370.0,1
Отдельный дом · 6 комнат · 185 м² · 25 сот.,22 000 000〒,"Енбекшинский р-н, Жилой массив Тогус — Школа №120",6,185.0,1
Отдельный дом · 5 комнат · 200 м² · 6 сот.,36 000 000〒,"Алатауский р-н, мкр Карасу",5,200.0,1
Отдельный дом · 3 комнаты · 40 м² · 3 сот.,23 000 000〒,"Алатауский р-н, мкр Коккайнар, ул. Акбастау 37",3,40.0,1
Отдельный дом · 4 комнаты · 350 м² · 8 сот.,265 000 000〒,"Наурызбайский р-н, мкр Каргалы",4,350.0,1
Отдельный дом · 4 комнаты · 350 м² · 8 сот.,265 000 000〒,"Наурызбайский р-н, мкр Каргалы",4,350.0,1
Отдельный дом · 5 комнат · 453 м² · 16 сот.,288 000 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",5,453.0,1
Отдельный дом · 6 комнат · 280 м² · 12 сот.,60 000 000〒,Аскабылова 8,6,280.0,1
Отдельный дом · 5 комнат · 113 м² · 5 сот.,35 000 000〒,Алтай 28/31 — Саумалга на против коше,5,113.0,1
2-комнатный дом · 158.72 м²,от 150 784 000〒,"Наурызбайский р-н, Талжанова 1А",0,158.72,1
Отдельный дом · 5 комнат · 175 м² · 7 сот.,55 000 000〒,Байтерек 13 — Бурабай,5,175.0,1
4-комнатный дом · 195.7 м²,от 148 732 000〒,поселок Каменное Плато,0,195.7,1
Отдельный дом · 3 комнаты · 140 м² · 11 сот.,28 000 000〒,"жилой массив Заречный-3, Илияс Жансугирова 101",3,140.0,1
Часть дома · 3 комнаты · 60 м² · 3 сот.,7 000 000〒,"Старый город, Зинченко 135",3,60.0,1
Отдельный дом · 5 комнат · 88 м² · 3 сот.,14 000 000〒,Посмакова — Центральная мечеть,5,88.0,1
Отдельный дом · 6 комнат · 145 м² · 8 сот.,34 000 000〒,"Абайский р-н, мкр Катын копр, Бостан Алимбеков 30",6,145.0,1
Отдельный дом · 4 комнаты · 44 м² · 4.2 сот.,22 000 000〒,"Енбекшинский р-н, Куйбешева 83 — Чепаека Боевая Куйбешева",4,44.0,1
Отдельный дом · 7 комнат · 230 м² · 12 сот.,69 000 000〒,"Туран р-н, Колхозная 21 — Акация 9 этажка",7,230.0,1
Отдельный дом · 4 комнаты · 80 м² · 7 сот.,18 500 000〒,Микрорайон Нурай,4,80.0,1
Отдельный дом · 5 комнат · 225 м² · 6.5 сот.,115 000 000〒,"Турксибский р-н, мкр Маяк",5,225.0,1
Отдельный дом · 5 комнат · 187 м² · 10 сот.,45 000 000〒,Сугира Алиулы 46 — Аты жоқ магазинге жақын,5,187.0,1
Дача · 1 комната · 10.2 м² · 7.2 сот.,16 000 000〒,"Ауэзовский р-н, 5 линия",1,10.2,1
Часть дома · 3 комнаты · 79.3 м² · 3 сот.,18 000 000〒,"р-н Байконур, Жолымбетская 4 — Центральный рынок",3,79.3,1
Отдельный дом · 10 комнат · 450 м² · 12 сот.,160 000 000〒,"Аль-Фарабийский р-н, Шевченко 11 — Диваева",10,450.0,1
Часть дома · 3 комнаты · 60 м² · 1 сот.,30 000 000〒,"Ауэзовский р-н, мкр Достык — Жайдарман 17в",3,60.0,1
Отдельный дом · 5 комнат · 125.8 м² · 8 сот.,63 000 000〒,"Каратауский р-н, мкр Нуртас, Тайбекова 31 — Близко к ул. Байтерекова",5,125.8,1
Часть дома · 3 комнаты · 100 м² · 1000 сот.,3 000 000〒,Каукаев 177-2,3,100.0,1
Отдельный дом · 4 комнаты · 184 м² · 6 сот.,107 000 000〒,"Бостандыкский р-н, мкр Баганашыл, Восточная 5",4,184.0,1
Отдельный дом · 6 комнат · 256 м² · 6.4 сот.,75 000 000〒,Баталы 93 — Маг Жания,6,256.0,1
Отдельный дом · 6 комнат · 288 м² · 12 сот.,145 000 000〒,"мкр Атырау, Ул.Алтынемел",6,288.0,1
Отдельный дом · 5 комнат · 200 м² · 7 сот.,195 000 000〒,"Ауэзовский р-н, мкр Таугуль-3 39Б",5,200.0,1
Отдельный дом · 5 комнат · 200 м² · 3 сот.,110 000 000〒,"Медеуский р-н, Оразбаева 18",5,200.0,1
Отдельный дом · 3 комнаты · 120 м² · 4 сот.,54 000 000〒,"Алатауский р-н, мкр Мадениет, Талдыбулак 24 — Талдыбулак 24",3,120.0,1
Отдельный дом · 3 комнаты · 120 м² · 7 сот.,30 000 000〒,"Каратауский р-н, мкр Бозарык , Бозарык 1 136",3,120.0,1
Отдельный дом · 5 комнат · 154 м² · 6 сот.,70 000 000〒,"Жетысуский р-н, мкр Айнабулак-3, Мещерского 65",5,154.0,1
Отдельный дом · 4 комнаты · 101 м² · 3 сот.,24 000 000〒,"Алихана Бокейханова р-н, Майкудук, Чапаева 92 — Мечеть Бала кажы",4,101.0,1
Отдельный дом · 7 комнат · 566.4 м² · 11 сот.,149 800 000〒,"Турксибский р-н, Айша биби 29",7,566.4,1
Отдельный дом · 5 комнат · 150 м² · 10 сот.,18 000 000〒,"Каратауский р-н, Жумабаева 23 — Микрорайн Тассай Находится напротив Шымунивер. и Агроколледж",5,150.0,1
Отдельный дом · 6 комнат · 10.5 м² · 10.5 сот.,339 000 000〒,"Есильский р-н, Будапешт 32",6,10.5,1
Отдельный дом · 4 комнаты · 100 м² · 8.73 сот.,69 000 000〒,Толе Би 88,4,100.0,1
Часть дома · 5 комнат · 200 м² · 8 сот.,35 000 000〒,Наурыз — Әлжан Бұқарбайқызы атындағы қазақ орта мектебінің жанында,5,200.0,1
Отдельный дом · 4 комнаты · 63 м² · 5 сот.,18 000 000〒,Гастело 70 — Малая,4,63.0,1
Отдельный дом · 3 комнаты · 94 м² · 15 сот.,10 000 000〒,Тополиная,3,94.0,1
Отдельный дом · 3 комнаты · 48.6 м² · 14 сот.,12 000 000〒,Инициативная 24,3,48.6,1
Часть дома · 5 комнат · 250 м² · 10 сот.,18 500 000〒,"5 1183 — Мангыстау 5, 1183",5,250.0,1
Отдельный дом · 3 комнаты · 72 м² · 28 сот.,16 000 000〒,Комсомольская 2 — Подстанция,3,72.0,1
Отдельный дом · 6 комнат · 168 м² · 12 сот.,45 000 000〒,"Туймебая, ПКСТ Бодрость д.1.",6,168.0,1
Отдельный дом · 7 комнат · 192 м² · 10 сот.,170 000 000〒,"Алматы р-н, Құндызды 14 — Ул.Сатпаева уг.ул.Обаған",7,192.0,1
Отдельный дом · 3 комнаты · 130 м² · 8 сот.,30 000 000〒,Сухамбаева 115,3,130.0,1
Отдельный дом · 3 комнаты · 80 м² · 4 сот.,21 500 000〒,Старый аэропорт 100,3,80.0,1
Отдельный дом · 5 комнат · 126 м² · 8 сот.,65 000 000〒,"Каратауский р-н, мкр Нуртас Тайбекова 31 — Ближе к ул Байтерекова",5,126.0,1
Отдельный дом · 4 комнаты · 200 м² · 10 сот.,30 000 000〒,",Жана-Курылыс 60",4,200.0,1
Отдельный дом · 4 комнаты · 60 м² · 4.5 сот.,39 000 000〒,"Жетысуский р-н, Краснодарская 16А — Иркутская",4,60.0,1
Отдельный дом · 8 комнат · 335 м² · 6 сот.,135 000 000〒,"Турксибский р-н, Щелково 3 — Элеватор",8,335.0,1
Отдельный дом · 5 комнат · 360 м² · 8 сот.,90 000 000〒,"Алатауский р-н, мкр Шанырак-1 41",5,360.0,1
Отдельный дом · 7 комнат · 300 м² · 12 сот.,200 000 000〒,"Ауэзовский р-н, мкр Жазира 16",7,300.0,1
Отдельный дом · 4 комнаты · 175 м² · 10 сот.,75 000 000〒,"Наурызбайский р-н, мкр Калкаман-2 — Айымбетова",4,175.0,1
Отдельный дом · 3 комнаты · 182 м² · 8.2 сот.,100 000 000〒,"Ауэзовский р-н, Лазарева — Жандосова Навои",3,182.0,1
Отдельный дом · 4 комнаты · 234 м² · 15 сот.,98 000 000〒,"Медеуский р-н, мкр Кенсай, Мкр Кенсай, ст мичуринец юг 18",4,234.0,1
Отдельный дом · 3 комнаты · 161.1 м² · 5 сот.,31 000 000〒,"Наурызбайский р-н, мкр Акжар, СТ Алтын Алма 89 — Выше трассы, поворот на церковь",3,161.1,1
Часть дома · 6 комнат · 120 м² · 6 сот.,67 000 000〒,"Жетысуский р-н, Мартынова 30 — Федорова",6,120.0,1
Отдельный дом · 6 комнат · 300 м² · 14 сот.,260 000 000〒,"Медеуский р-н, мкр Тау Самал, Оспанова",6,300.0,1
Отдельный дом · 7 комнат · 512 м² · 20 сот.,170 000 000〒,"Наурызбайский р-н, мкр Таусамалы, Арал 37/4",7,512.0,1
Отдельный дом · 3 комнаты · 85 м² · 2.4 сот.,44 000 000〒,"Жетысуский р-н, Герцена 47",3,85.0,1
Отдельный дом · 6 комнат · 215 м² · 6 сот.,110 000 000〒,"Турксибский р-н, мкр Кайрат, Даулеткерея 38",6,215.0,1
Отдельный дом · 4 комнаты · 106 м² · 6 сот.,40 000 000〒,Турсырбека сарбасова,4,106.0,1
Отдельный дом · 6 комнат · 339 м² · 6 сот.,89 900 000〒,"Алматы р-н, Жанарыс 28",6,339.0,1
Отдельный дом · 3 комнаты · 120 м² · 6 сот.,35 000 000〒,Тан Нуры 90,3,120.0,1
Отдельный дом · 25 комнат · 828.8 м² · 10 сот.,160 000 000〒,Коркыт-ата 15,25,828.8,1
Отдельный дом · 4 комнаты · 148.6 м² · 6.83 сот.,69 000 000〒,Абая 47,4,148.6,1
Отдельный дом · 6 комнат · 250 м² · 32 сот.,65 000 000〒,Абая,6,250.0,1
Отдельный дом · 6 комнат · 329 м² · 5.5 сот.,211 000 000〒,"Медеуский р-н, Кастеева 33",6,329.0,1
Отдельный дом · 6 комнат · 299 м² · 11.5 сот.,145 000 000〒,"Наурызбайский р-н, мкр Таусамалы, Жанат 43А — Жандосова",6,299.0,1
Отдельный дом · 3 комнаты · 76.8 м² · 12 сот.,12 500 000〒,Уалиханова 72 — Остановка центр.,3,76.8,1
Отдельный дом · 4 комнаты · 115 м² · 17 сот.,78 000 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",4,115.0,1
Отдельный дом · 4 комнаты · 140 м² · 6 сот.,85 000 000〒,Ахметова 3,4,140.0,1
Отдельный дом · 4 комнаты · 120 м² · 7 сот.,55 000 000〒,Учхозовские — БАКАД,4,120.0,1
Дача · 3 комнаты · 65 м² · 12.6 сот.,6 200 000〒,"мкр Акжар, Акжар ск Строитель 87013515420 — Акжар",3,65.0,1
Отдельный дом · 7 комнат · 259 м² · 10 сот.,119 000 000〒,Кулагер,7,259.0,1
Отдельный дом · 6 комнат · 630 м² · 300 сот.,1 036 294 820〒,Бельбулак 350,6,630.0,1
Отдельный дом · 4 комнаты · 150 м² · 8 сот.,13 990 000〒,"мкр Зарослый, 22 37",4,150.0,1
Отдельный дом · 6 комнат · 387.8 м² · 1112 сот.,35 000 000〒,Паромный 4 — Чкалова,6,387.8,1
Отдельный дом · 4 комнаты · 145 м² · 8 сот.,50 000 000〒,"Мкр Курылысшы, улица Акжар 18",4,145.0,1
Отдельный дом · 5 комнат · 240 м² · 8 сот.,160 000 000〒,Радиозавод проезд В — Ромат,5,240.0,1
Отдельный дом · 5 комнат · 342.4 м² · 6.6 сот.,180 000 000〒,"Есильский р-н, мкр Шубар 23 — Темирказык и Караоткель",5,342.4,1
Отдельный дом · 6 комнат · 450 м² · 7 сот.,165 000 000〒,"Алатауский р-н, мкр Айгерим-1, Пригородная 5/1",6,450.0,1
Отдельный дом · 4 комнаты · 90.1 м² · 14 сот.,19 000 000〒,Амангельды 11,4,90.1,1
Отдельный дом · 3 комнаты · 130 м² · 8 сот.,27 000 000〒,"Абайский р-н, мкр Ынтымак  9 — Барс базар",3,130.0,1
Отдельный дом · 4 комнаты · 66 м² · 6 сот.,18 000 000〒,"Шашкина — В шаговой доступности магазин ""Бакарди ""и ""Манго""",4,66.0,1
Отдельный дом · 15 комнат · 350 м² · 6 сот.,85 000 000〒,"Жетысуский р-н, Табигат 4",15,350.0,1
Отдельный дом · 5 комнат · 100 м² · 7 сот.,47 900 000〒,"Жетысуский р-н, Гастелло — проспект Рыскулова",5,100.0,1
4-комнатный дом · 204.33 м²,от 126 684 600〒,Алатуская трасса п. Туздыбастау,0,204.33,1
Отдельный дом · 6 комнат · 275 м² · 10 сот.,75 000 000〒,"Каратауский р-н, мкр Достык  — Алматинская трасса",6,275.0,1
Отдельный дом · 15 комнат · 568 м² · 20 сот.,98 000 000〒,Картбай бегжанова 165 — 19 км,15,568.0,1
Отдельный дом · 4 комнаты · 290 м² · 10 сот.,36 000 000〒,"жилой массив Акжар-2, Акжар-2 907",4,290.0,1
